,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,5,housemaid,married,basic.education,no,no,no,telephone,may,mon,261,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
2,3,services,married,high.school,no,yes,no,telephone,may,mon,226,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
3,4,admin.,married,basic.education,no,no,no,telephone,may,mon,151,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
4,5,services,married,high.school,no,no,yes,telephone,may,mon,307,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
6,5,admin.,married,professional.course,no,no,no,telephone,may,mon,139,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
8,2,technician,single,professional.course,no,yes,no,telephone,may,mon,380,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
9,2,services,single,high.school,no,yes,no,telephone,may,mon,50,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
11,2,services,single,high.school,no,yes,no,telephone,may,mon,222,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
12,2,blue-collar,single,high.school,no,no,yes,telephone,may,mon,137,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
13,5,housemaid,divorced,basic.education,no,yes,no,telephone,may,mon,293,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
14,3,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,146,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
16,3,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,312,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
18,5,blue-collar,married,basic.education,no,yes,yes,telephone,may,mon,353,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
20,3,unemployed,married,high.school,no,no,no,telephone,may,mon,38,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
22,5,retired,single,high.school,no,yes,no,telephone,may,mon,342,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
23,4,technician,single,high.school,no,yes,no,telephone,may,mon,181,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
24,3,admin.,married,high.school,no,yes,no,telephone,may,mon,172,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
25,3,technician,married,university.degree,no,no,yes,telephone,may,mon,99,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
34,5,blue-collar,divorced,basic.education,no,no,no,telephone,may,mon,208,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
36,3,services,married,high.school,no,no,no,telephone,may,mon,365,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
37,5,technician,married,basic.education,no,yes,no,telephone,may,mon,1666,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
38,4,admin.,married,university.degree,no,yes,no,telephone,may,mon,577,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
39,5,technician,married,basic.education,no,yes,no,telephone,may,mon,137,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
41,3,entrepreneur,married,high.school,no,yes,no,telephone,may,mon,314,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
42,3,admin.,single,professional.course,no,no,no,telephone,may,mon,160,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
43,5,admin.,married,university.degree,no,no,yes,telephone,may,mon,212,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
46,5,admin.,married,university.degree,no,yes,yes,telephone,may,mon,616,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
47,4,blue-collar,married,basic.education,no,no,yes,telephone,may,mon,178,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
48,3,admin.,married,university.degree,no,yes,no,telephone,may,mon,355,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
49,4,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,225,2,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
50,5,admin.,married,high.school,no,no,no,telephone,may,mon,160,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
51,3,housemaid,married,basic.education,no,no,yes,telephone,may,mon,266,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
52,6,admin.,married,high.school,no,no,no,telephone,may,mon,253,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
53,5,admin.,single,professional.course,no,no,no,telephone,may,mon,179,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
59,2,technician,single,university.degree,no,yes,no,telephone,may,mon,174,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
61,5,blue-collar,married,basic.education,no,yes,no,telephone,may,mon,812,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
64,4,admin.,married,high.school,no,no,no,telephone,may,mon,357,1,Not Contacted,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
